distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
313.68,7.097,2,50.5147057,-84.8083831,7.097,2022-08-23 21:05:37,26.399999999999977,0.0,,75.0,8.0,0.0,26.399999999999977,0.0,324.0,26.5,64.0,95.5,20.5,87.5,22.0,2022,8,23,21,2.12,172.0
321.78,7.606,2,50.5147701,-84.8083038,7.606,2022-08-23 21:05:38,26.399999999999977,0.0,,84.0,8.0,0.0,26.399999999999977,0.0,385.0,26.5,39.0,93.5,26.0,92.5,22.0,2022,8,23,21,2.12,172.0
329.78,7.483,2,50.5148416,-84.8082349,7.483,2022-08-23 21:05:39,26.399999999999977,0.0,,88.0,9.0,0.0,26.399999999999977,0.0,400.0,25.0,45.0,93.5,25.5,95.0,22.0,2022,8,23,21,2.12,172.0
337.98,7.737,2,50.5149145,-84.8081646,7.737,2022-08-23 21:05:40,26.600000000000023,0.0,,91.0,9.0,0.0,26.600000000000023,0.0,366.0,24.5,47.0,92.0,27.0,95.5,22.0,2022,8,23,21,2.12,172.0
346.41,7.886,2,50.5149842,-84.8080916,7.886,2022-08-23 21:05:41,26.600000000000023,0.0,,96.0,9.0,0.0,26.600000000000023,0.0,334.0,25.5,46.0,89.5,33.0,95.0,22.0,2022,8,23,21,2.12,172.0
355.04,8.252,2,50.515059,-84.8080188,8.252,2022-08-23 21:05:42,26.799999999999955,0.0,,98.0,10.0,0.0,26.799999999999955,0.0,340.0,28.0,45.0,95.0,33.0,95.0,22.0,2022,8,23,21,2.12,172.0
363.9,8.174,2,50.5151365,-84.8079393,8.174,2022-08-23 21:05:43,26.799999999999955,0.0,,100.0,10.0,0.0,26.799999999999955,0.0,339.0,24.5,44.0,93.0,29.0,91.0,22.0,2022,8,23,21,2.12,172.0
372.84,8.451,2,50.5152097,-84.8078584,8.451,2022-08-23 21:05:44,27.0,0.0,,102.0,10.0,0.0,27.0,0.0,335.0,23.0,44.0,86.5,28.0,89.5,22.0,2022,8,23,21,2.12,172.0
381.44,8.489,2,50.5152811,-84.8077781,8.489,2022-08-23 21:05:45,27.0,0.0,,105.0,11.0,0.0,27.0,0.0,318.0,23.0,45.0,83.5,27.5,89.5,22.0,2022,8,23,21,2.12,172.0
390.6,8.734,2,50.5153548,-84.8076951,8.734,2022-08-23 21:05:46,27.200000000000045,0.0,,105.0,11.0,0.0,27.200000000000045,0.0,292.0,23.5,47.0,86.0,27.0,90.0,22.0,2022,8,23,21,2.12,172.0
399.93,8.842,2,50.515432,-84.8076054,8.842,2022-08-23 21:05:47,27.200000000000045,0.0,,100.0,11.0,0.0,27.200000000000045,0.0,268.0,22.0,52.0,83.0,26.5,88.5,22.0,2022,8,23,21,2.12,172.0
409.09,8.751,2,50.5155061,-84.8075209,8.751,2022-08-23 21:05:48,27.399999999999977,0.0,,99.0,11.0,0.0,27.399999999999977,0.0,252.0,21.0,55.0,80.0,26.0,87.5,22.0,2022,8,23,21,2.12,172.0
