battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,left_right_balance,position_lat,position_long,power,speed,timestamp,temperature,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
,82,12,507.72,4.723,2,56.0,50.515029,-84.8147952,161,4.723,2023-05-25 14:05:03,18.0,20.0,74.0,19.5,70.0,14.799999999999955,0.0,1.0,14.799999999999955,0.0,2023,5,25,14,1.94,192.0
,82,12,512.88,5.048,2,58.0,50.5150811,-84.8147611,158,5.048,2023-05-25 14:05:04,18.0,20.5,73.5,19.0,66.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,83,13,518.27,5.268,2,57.0,50.5151321,-84.8147317,164,5.268,2023-05-25 14:05:05,18.0,22.5,79.5,18.0,64.0,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,84,13,523.62,5.304,2,56.0,50.515186,-84.8147042,166,5.304,2023-05-25 14:05:06,18.0,22.0,80.5,19.0,72.0,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,84,13,528.65,4.987,2,56.0,50.5152367,-84.8146703,162,4.987,2023-05-25 14:05:07,18.0,17.5,68.0,19.0,71.5,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,84,13,533.3,4.36,2,55.0,50.51528,-84.8146407,152,4.36,2023-05-25 14:05:08,18.0,18.5,69.5,18.5,71.0,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,84,13,538.21,4.878,2,53.0,50.5153281,-84.8146132,158,4.878,2023-05-25 14:05:09,18.0,21.5,76.5,18.5,70.0,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,84,13,543.25,4.646,3,51.0,50.5153785,-84.8145858,160,4.646,2023-05-25 14:05:10,18.0,23.0,81.0,18.5,70.5,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,84,14,547.91,4.81,3,51.0,50.5154257,-84.8145665,160,4.81,2023-05-25 14:05:11,18.0,20.5,76.5,20.5,78.5,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,85,14,553.36,4.323,3,51.0,50.5154808,-84.8145341,158,4.323,2023-05-25 14:05:12,18.0,23.0,76.0,17.5,64.5,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,86,14,559.08,3.974,2,58.0,50.5155361,-84.8144973,161,3.974,2023-05-25 14:05:13,18.0,23.0,77.5,20.0,72.5,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,86,14,564.56,4.854,2,61.0,50.5155906,-84.8144678,167,4.854,2023-05-25 14:05:14,18.0,22.0,80.0,21.0,76.0,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,86,14,571.12,6.258,2,59.0,50.5156521,-84.8144267,166,6.258,2023-05-25 14:05:15,18.0,21.0,79.5,18.0,68.0,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,86,14,578.08,6.777,2,55.0,50.5157201,-84.8143877,159,6.777,2023-05-25 14:05:16,18.0,17.0,68.5,19.0,71.0,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,85,15,585.76,7.441,2,55.0,50.5157983,-84.8143446,142,7.441,2023-05-25 14:05:17,18.0,20.5,69.5,18.5,69.0,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,85,15,593.92,7.975,2,55.0,50.5158805,-84.8143058,139,7.975,2023-05-25 14:05:18,18.0,22.0,71.0,19.5,70.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,85,15,601.65,7.837,2,57.0,50.5159612,-84.81427,134,7.837,2023-05-25 14:05:19,18.0,22.5,72.0,20.5,73.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,85,15,609.29,7.686,2,58.0,50.5160397,-84.8142472,132,7.686,2023-05-25 14:05:20,18.0,23.0,73.0,21.5,76.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,84,15,616.86,7.578,2,56.0,50.5161179,-84.814215,139,7.578,2023-05-25 14:05:21,18.0,23.0,76.0,18.5,66.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,82,15,623.84,7.117,2,52.0,50.5161917,-84.8141925,152,7.117,2023-05-25 14:05:22,18.0,21.5,73.0,20.0,69.0,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,82,15,631.04,7.292,2,52.0,50.5162665,-84.8141679,163,7.292,2023-05-25 14:05:23,18.0,21.5,74.0,21.0,71.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,82,16,638.29,7.221,2,52.0,50.5163405,-84.8141406,174,7.221,2023-05-25 14:05:24,18.0,22.5,80.0,20.5,72.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,82,16,645.42,7.111,2,54.0,50.5164139,-84.814113,177,7.111,2023-05-25 14:05:25,18.0,23.5,81.5,22.0,77.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,82,16,652.61,7.217,2,60.0,50.5164902,-84.8140857,175,7.217,2023-05-25 14:05:26,18.0,22.5,78.5,22.0,77.5,15.200000000000045,0.0,1.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,82,16,659.71,7.079,2,56.0,50.516565,-84.814065,175,7.079,2023-05-25 14:05:27,18.0,21.5,75.5,21.5,77.5,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,83,16,666.21,6.619,2,54.0,50.5166342,-84.8140538,180,6.619,2023-05-25 14:05:28,18.0,22.0,79.0,21.5,78.0,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
,84,16,673.18,6.935,2,54.0,50.5167056,-84.8140309,188,6.935,2023-05-25 14:05:29,18.0,24.0,88.0,22.5,80.0,15.0,0.0,1.0,15.0,0.0,2023,5,25,14,1.94,192.0
